Name,Risk Score,Bachelor's Degree,Master's Degree,More Than 5 Years of Work Experience,More Than 10 Years of Work Experience,More Than 15 Years of Work Experience,More Than 20 Years of Work Experience,More Than 25 Years of Work Experience,More Than 30 Years of Work Experience,Years of Work Experience,Bankruptcies,Criminal Records,Civil Litigation & Legal Filings,Tax Liens,Industry Sanctions & Other Legal Actions,Professional Licenses,LinkedIn Potential Controversies,LinkedIn Political Activity,Twitter Potential Controversies,Twitter Political Activity,Facebook Potential Controversies,Facebook Political Activity,Instagram Potential Controversies,Instagram Political Activity
Anthony Ivy,5,Yes,Yes,Yes,Yes,No,No,No,No,13,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Blaise Carroz,5,Yes,No,Yes,Yes,Yes,Yes,No,No,21,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Callie Thomas,1,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Campbell Murray,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Daniel Beck,3,Yes,No,Yes,Yes,Yes,No,No,No,17,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Don Ruskewich,5,Yes,No,Yes,Yes,Yes,No,No,No,17,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Dustin Froyum,4,Yes,Yes,Yes,Yes,Yes,No,No,No,20,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Dylan Jahraus,1,Yes,No,Yes,Yes,No,No,No,No,11,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ebbe Groes,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Erez Levy,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,27,No,No,No,No,No,No,No,No,No,No,No,No,No,No
George Fonyam,5,Yes,No,Yes,Yes,Yes,No,No,No,20,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
Howard Makler,1,No,No,Yes,Yes,Yes,Yes,Yes,No,30,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Ingrid Jien Teng,1,Yes,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jared Porter,2,Yes,No,Yes,Yes,No,No,No,No,14,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No
Jared Spencer,2,Yes,No,No,No,No,No,No,No,4,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Jarred Winn,5,Yes,No,Yes,Yes,No,No,No,No,14,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
Jarrett Preston,5,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No
Jason Krantz,1,Yes,Yes,Yes,Yes,Yes,No,No,No,18,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jay McDougall,2,Yes,No,Yes,Yes,No,No,No,No,15,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Jeanne Glass,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Jeremy Wien,4,Yes,No,Yes,Yes,Yes,No,No,No,16,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
Jerome Harper,5,Yes,No,Yes,Yes,Yes,No,No,No,18,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No
Jochen Martinez,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,28,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
Jonas Frey,2,No,No,Yes,Yes,Yes,No,No,No,20,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Katherine Dangerfield,4,Yes,No,Yes,No,No,No,No,No,6,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No
Kevin Carolan,2,Yes,No,Yes,Yes,Yes,No,No,No,17,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Lance Dietz,1,Yes,Yes,Yes,Yes,No,No,No,No,14,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Marata Carroz,5,Yes,No,Yes,Yes,Yes,Yes,No,No,21,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Marco van der Weijden,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
